Build ID,Time (UTC),Platform,Build Status,Session ID,Test Name,Test Status,Duration (s),Video URL,Maestro Log URL,Description
e77f3b93ced04bdc6c184b6c741537b053e609e3,2026-04-26 05:00:09 UTC,ios,failed,8051b06218c1a354e2ae00ebc27671effdb137ad,login,passed,19.953,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad60c99842/video#t=58,78,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad60c99842/maestrologs,"iOS FINAL — v2 build + coord taps"
e77f3b93ced04bdc6c184b6c741537b053e609e3,2026-04-26 05:00:09 UTC,ios,failed,8051b06218c1a354e2ae00ebc27671effdb137ad,auth-flow,passed,19.414,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad99f2f61f/video#t=78,98,https://api.browserstack.com/app-automate/maestro/builds/e77f3b93ced04bdc6c184b6c741537b053e609e3/sessions/tests/8051b06218c1a354e2ae00ebc27671effdb137ad99f2f61f/maestrologs,"iOS FINAL — v2 build + coord taps"
86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b,2026-04-26 04:53:54 UTC,android,failed,7ded7b093fb5762766ec55d4aee926258ce7fd18,auth-flow,passed,27,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd188b98672e/video#t=5,43,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd188b98672e/maestrologs,"Android FINAL — testID build"
86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b,2026-04-26 04:53:54 UTC,android,failed,7ded7b093fb5762766ec55d4aee926258ce7fd18,login,passed,25,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd181e951840/video#t=54,90,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd181e951840/maestrologs,"Android FINAL — testID build"
86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b,2026-04-26 04:53:54 UTC,android,failed,7ded7b093fb5762766ec55d4aee926258ce7fd18,lend-flow,failed,43,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd18a215666c/video#t=101,156,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd18a215666c/maestrologs,"Android FINAL — testID build"
86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b,2026-04-26 04:53:54 UTC,android,failed,7ded7b093fb5762766ec55d4aee926258ce7fd18,home-smoke,failed,42,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd1820094515/video#t=167,221,https://api.browserstack.com/app-automate/maestro/builds/86ee6876995a1dd29d19aa599fa6a9a0c4a3cf4b/sessions/tests/7ded7b093fb5762766ec55d4aee926258ce7fd1820094515/maestrologs,"Android FINAL — testID build"
a3db93c13caab012913b45fe1b688f1edd3e9f62,2026-04-26 04:30:02 UTC,android,passed,4137a4d66c09c76ba37406fcb3ec66d42f9a170c,auth-flow,passed,24,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170cb7bf41ae/video#t=5,40,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170cb7bf41ae/maestrologs,"Android v11 — conditional login"
a3db93c13caab012913b45fe1b688f1edd3e9f62,2026-04-26 04:30:02 UTC,android,passed,4137a4d66c09c76ba37406fcb3ec66d42f9a170c,login,passed,24,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170cf718b4ec/video#t=52,88,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170cf718b4ec/maestrologs,"Android v11 — conditional login"
a3db93c13caab012913b45fe1b688f1edd3e9f62,2026-04-26 04:30:02 UTC,android,passed,4137a4d66c09c76ba37406fcb3ec66d42f9a170c,lend-flow,passed,69,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170ce208a232/video#t=99,179,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170ce208a232/maestrologs,"Android v11 — conditional login"
a3db93c13caab012913b45fe1b688f1edd3e9f62,2026-04-26 04:30:02 UTC,android,passed,4137a4d66c09c76ba37406fcb3ec66d42f9a170c,home-smoke,passed,32,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170c35718ad9/video#t=191,234,https://api.browserstack.com/app-automate/maestro/builds/a3db93c13caab012913b45fe1b688f1edd3e9f62/sessions/tests/4137a4d66c09c76ba37406fcb3ec66d42f9a170c35718ad9/maestrologs,"Android v11 — conditional login"
70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1,2026-04-26 04:30:01 UTC,ios,failed,3042b926af56fb3341ae46cd5af86bafec15d0ff,home-smoke,passed,30.683,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff77ad6ac2/video#t=0,31,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff77ad6ac2/maestrologs,"iOS v16 — conditional login"
70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1,2026-04-26 04:30:01 UTC,ios,failed,3042b926af56fb3341ae46cd5af86bafec15d0ff,lend-flow,failed,27.5,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff34ad46fb/video#t=31,59,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff34ad46fb/maestrologs,"iOS v16 — conditional login"
70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1,2026-04-26 04:30:01 UTC,ios,failed,3042b926af56fb3341ae46cd5af86bafec15d0ff,login,passed,19.182,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff60c99842/video#t=59,79,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff60c99842/maestrologs,"iOS v16 — conditional login"
70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1,2026-04-26 04:30:01 UTC,ios,failed,3042b926af56fb3341ae46cd5af86bafec15d0ff,auth-flow,passed,18.666,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff99f2f61f/video#t=79,98,https://api.browserstack.com/app-automate/maestro/builds/70fc82d53afc3ea79a2073c6c28bbfb9c9fcccf1/sessions/tests/3042b926af56fb3341ae46cd5af86bafec15d0ff99f2f61f/maestrologs,"iOS v16 — conditional login"
